"PFE","UNH","JNJ","AZN","SYK","CVS","LLY","Dates","date"
11.060144,32.480625,14.055738,49.32439,27.151537,43.817402,24.683519,"2011-01-11",2011-01-11
11.1512,32.297771,14.195905,49.1628,26.751917,43.979248,24.76837,"2011-01-12",2011-01-12
11.060144,32.912811,14.195905,49.026733,26.790342,44.267746,24.676447,"2011-01-13",2011-01-13
11.132989,33.885235,14.172048,49.171318,26.959408,44.014427,24.683519,"2011-01-14",2011-01-14
11.157277,33.976665,14.345024,49.656036,27.005524,43.697769,24.598675,"2011-01-18",2011-01-18
11.12085,33.710693,14.243624,48.967201,26.608318,44.021469,24.499681,"2011-01-19",2011-01-19
11.072287,33.502918,13.98416,48.644054,27.233036,44.232563,24.570396,"2011-01-20",2011-01-20
11.145131,33.586033,14.345024,49.026733,27.310167,44.091831,24.577461,"2011-01-21",2011-01-21
11.199764,33.087341,14.550805,48.984211,26.986242,43.782207,24.591606,"2011-01-24",2011-01-24
11.211905,33.760559,14.359937,49.639038,27.117353,42.980026,24.556248,"2011-01-25",2011-01-25
11.145131,33.453049,14.491155,48.771618,27.456699,42.642273,24.711807,"2011-01-26",2011-01-26
11.217977,35.148548,14.458346,49.417934,27.54154,42.698574,25.079472,"2011-01-27",2011-01-27
11.017652,34.018208,14.392741,48.644054,26.839699,42.227104,24.584532,"2011-01-28",2011-01-28
11.060144,34.117958,14.583609,48.950207,26.376934,42.058228,24.584532,"2011-01-31",2011-01-31
11.667181,34.965714,14.685012,49.783607,26.955389,42.663368,24.895643,"2011-02-01",2011-02-01
11.630378,34.865963,14.784171,49.494469,26.724012,42.656349,25.044121,"2011-02-02",2011-02-02
11.759192,35.7719,14.855441,49.67305,25.389727,42.783005,25.192608,"2011-02-03",2011-02-03
11.838932,35.314766,14.737686,49.758118,25.196922,42.811157,25.121895,"2011-02-04",2011-02-04
