Dates,AZN
2012-11-23,47.569611
2012-11-26,47.57835
2012-11-27,47.307873
2012-11-28,47.639416
2012-11-29,47.159546
2012-11-30,47.255524
2012-12-03,47.499817
2012-12-04,47.421288
2012-12-05,47.430019
2012-12-06,47.421288
2012-12-07,47.613247
2012-12-10,47.805195
2012-12-11,48.695187
2012-12-12,48.974377
2012-12-13,49.02673
2012-12-14,48.669006
2012-12-17,49.000568
2012-12-18,49.166325
2012-12-19,48.826046
2012-12-20,49.358284
2012-12-21,48.747536
2012-12-24,48.747536
2012-12-26,48.363621
2012-12-27,48.35923
2012-12-28,47.736782
2012-12-31,48.061157
2013-01-02,48.990463
2013-01-03,49.218403
2013-01-04,49.735664
2013-01-07,50.03373
2013-01-08,49.946075
2013-01-09,51.182251
2013-01-10,51.585503
2013-01-11,51.585503
2013-01-14,51.611809
2013-01-15,52.216759
2013-01-16,52.102779
2013-01-17,53.146065
2013-01-18,53.961391
2013-01-22,54.101681
2013-01-23,54.241947
2013-01-24,55.627148
2013-01-25,55.714809
2013-01-28,55.916458
2013-01-29,55.93399
2013-01-30,55.565781
2013-01-31,54.925774
2013-02-01,55.267696
2013-02-04,54.618938
2013-02-05,55.057285
2013-02-06,55.285236
2013-02-07,55.276459
2013-02-08,55.916458
2013-02-11,56.021664
2013-02-12,56.118107
2013-02-13,56.004131
2013-02-14,56.126858
2013-02-15,55.977837
2013-02-19,55.837563
2013-02-20,55.302761
2013-02-21,54.504955
2013-02-22,54.969612
2013-02-25,54.434837
2013-02-26,55.030983
2013-02-27,55.81126
2013-02-28,56.004131
2013-03-01,56.898373
2013-03-04,57.047409
2013-03-05,57.862743
2013-03-06,57.827698
2013-03-07,57.336731
2013-03-08,57.617275
2013-03-11,58.05563
2013-03-12,58.555363
2013-03-13,58.45892
2013-03-14,58.572906
2013-03-15,57.801376
2013-03-18,56.793159
2013-03-19,56.784397
2013-03-20,57.31044
2013-03-21,56.582764
2013-03-22,56.609055
2013-03-25,56.582764
2013-03-26,57.097744
2013-03-27,57.106556
2013-03-28,57.432274
2013-04-01,57.511501
2013-04-02,57.71397
2013-04-03,57.441082
2013-04-04,57.740383
2013-04-05,57.221001
2013-04-08,57.555515
2013-04-09,58.40062
2013-04-10,58.75275
2013-04-11,58.849606
2013-04-12,58.541489
2013-04-15,57.476284
2013-04-16,57.291431
2013-04-17,56.692799
2013-04-18,56.076576
2013-04-19,56.939301
2013-04-22,56.472721
2013-04-23,57.168175
2013-04-24,56.983318
2013-04-25,57.784405
2013-04-26,57.273811
2013-04-29,57.802006
2013-04-30,57.731579
2013-05-01,57.485096
2013-05-02,57.907646
2013-05-03,58.391823
2013-05-06,58.347813
2013-05-07,58.444633
2013-05-08,58.497467
2013-05-09,58.990448
2013-05-10,60.046822
2013-05-13,60.39016
2013-05-14,60.927147
2013-05-15,61.120808
2013-05-16,60.795105
2013-05-17,60.654255
2013-05-20,60.504616
2013-05-21,60.95356
2013-05-22,59.597866
2013-05-23,59.192921
2013-05-24,58.972832
2013-05-28,59.782753
2013-05-29,59.184124
2013-05-30,59.289749
2013-05-31,58.444633
2013-06-03,59.254536
2013-06-04,58.717545
2013-06-05,57.86364
2013-06-06,58.418232
2013-06-07,59.113689
2013-06-10,59.20171
2013-06-11,58.831989
2013-06-12,58.427025
2013-06-13,59.61544
2013-06-14,59.166531
2013-06-17,59.694706
2013-06-18,59.571449
2013-06-19,58.497467
2013-06-20,57.000912
2013-06-21,57.749191
2013-06-24,57.009708
2013-06-25,57.124161
2013-06-26,57.181602
2013-06-27,57.208122
2013-06-28,57.172794
2013-07-01,56.95179
2013-07-02,56.854546
2013-07-03,56.748482
2013-07-05,57.658932
2013-07-08,58.48983
2013-07-09,58.401451
2013-07-10,58.648945
2013-07-11,59.559399
2013-07-12,59.603577
2013-07-15,60.301884
2013-07-16,60.699665
2013-07-17,61.318432
2013-07-18,61.875286
2013-07-19,62.653137
2013-07-22,62.723854
2013-07-23,62.803436
2013-07-24,62.608963
2013-07-25,62.644318
2013-07-26,62.706184
2013-07-29,62.184662
2013-07-30,62.246559
2013-07-31,62.281891
2013-08-01,62.953671
2013-08-02,62.997902
2013-08-05,62.93602
2013-08-06,62.732716
2013-08-07,62.573612
2013-08-08,62.670841
2013-08-09,62.768063
2013-08-12,62.547089
2013-08-13,62.653137
2013-08-14,62.255367
2013-08-15,60.911823
2013-08-16,60.080917
2013-08-19,60.160465
2013-08-20,60.3284
2013-08-21,60.045551
2013-08-22,60.796909
2013-08-23,60.363781
2013-08-26,60.443317
2013-08-27,59.294212
2013-08-28,58.905262
2013-08-29,59.143963
2013-08-30,59.126282
2013-09-03,59.417957
2013-09-04,59.462162
2013-09-05,59.921814
2013-09-06,60.929459
2013-09-09,61.132801
2013-09-10,61.468693
2013-09-11,61.504059
2013-09-12,61.433338
2013-09-13,61.981365
2013-09-16,62.608963
2013-09-17,63.068584
2013-09-18,63.448723
2013-09-19,63.316109
2013-09-20,63.006718
2013-09-23,62.93602
2013-09-24,62.608963
2013-09-25,60.805744
2013-09-26,60.694828
2013-09-27,60.029316
2013-09-30,59.976055
2013-10-01,60.304375
2013-10-02,60.109169
2013-10-03,59.754234
2013-10-04,60.073681
2013-10-07,59.931675
2013-10-08,59.993809
2013-10-09,60.73032
2013-10-10,61.599918
2013-10-11,62.309795
2013-10-14,62.833321
2013-10-15,62.238804
2013-10-16,63.463326
2013-10-17,64.377335
2013-10-18,65.184822
2013-10-21,64.91861
2013-10-22,65.246941
2013-10-23,65.637375
2013-10-24,65.681747
2013-10-25,66.205254
2013-10-28,66.143158
2013-10-29,66.134293
2013-10-30,65.743851
2013-10-31,65.539742
2013-11-01,65.690598
2013-11-04,65.921303
2013-11-05,65.708344
2013-11-06,65.406654
2013-11-07,64.687889
2013-11-08,65.069458
2013-11-11,65.042854
2013-11-12,64.980713
2013-11-13,65.504257
2013-11-14,66.089897
2013-11-15,65.850349
2013-11-18,65.229187
2013-11-19,65.752716
2013-11-20,65.477669
2013-11-21,65.788223
2013-11-22,65.912437
2013-11-25,66.32061
2013-11-26,66.391617
2013-11-27,66.160889
2013-11-29,66.036652
2013-12-02,65.894684
2013-12-03,65.601852
2013-12-04,65.033958
2013-12-05,64.91861
2013-12-06,66.125397
2013-12-09,66.205254
2013-12-10,66.018921
2013-12-11,64.537041
2013-12-12,63.747314
2013-12-13,63.498867
2013-12-16,63.498867
2013-12-17,63.578693
2013-12-18,65.450996
2013-12-19,65.530884
2013-12-20,66.302872
2013-12-23,66.560219
2013-12-24,66.551331
2013-12-26,66.8974
2013-12-27,66.875114
2013-12-30,66.839478
2013-12-31,66.946373
2014-01-02,66.49202
2014-01-03,66.679115
2014-01-06,67.133499
2014-01-07,67.516624
2014-01-08,68.621414
2014-01-09,68.594673
2014-01-10,69.628181
2014-01-13,68.986694
2014-01-14,69.637093
2014-01-15,69.717278
2014-01-16,70.100395
2014-01-17,69.672752
2014-01-21,70.020187
2014-01-22,70.011292
2014-01-23,69.298538
2014-01-24,67.828453
2014-01-27,67.997734
2014-01-28,68.995605
2014-01-29,68.514511
2014-01-30,69.61927
2014-01-31,69.138161
2014-02-03,68.131409
2014-02-04,68.380844
2014-02-05,68.603584
2014-02-06,69.681656
2014-02-07,70.768578
2014-02-10,71.650635
2014-02-11,72.292152
2014-02-12,72.122841
2014-02-13,73.726563
2014-02-14,74.261131
2014-02-18,73.610733
2014-02-19,72.737617
2014-02-20,73.637474
2014-02-21,73.147461
2014-02-24,73.601852
2014-02-25,72.693069
2014-02-26,72.283226
2014-02-27,72.318855
2014-02-28,71.49028
2014-03-03,71.18734
2014-03-04,72.94252
2014-03-05,72.238678
2014-03-06,72.122841
2014-03-07,72.737617
2014-03-10,72.88018
2014-03-11,72.728714
2014-03-12,72.728714
2014-03-13,72.363419
2014-03-14,71.516998
2014-03-17,71.980293
2014-03-18,72.639626
2014-03-19,72.363419
2014-03-20,72.434677
2014-03-21,72.042686
2014-03-24,70.661667
2014-03-25,71.223
2014-03-26,70.911148
2014-03-27,71.434372
2014-03-28,72.033585
2014-03-31,72.865387
2014-04-01,73.232071
2014-04-02,73.598778
2014-04-03,75.244431
2014-04-04,73.876038
2014-04-07,72.650719
2014-04-08,72.677544
2014-04-09,73.428856
2014-04-10,71.228661
2014-04-11,70.978233
2014-04-14,71.371773
2014-04-15,71.166069
2014-04-16,70.700974
2014-04-17,70.459503
2014-04-21,71.085548
2014-04-22,70.423706
2014-04-23,70.11068
2014-04-24,69.654549
2014-04-25,68.617043
2014-04-28,68.715446
2014-04-29,69.672447
2014-04-30,69.538269
2014-05-01,69.252083
2014-05-02,69.600891
2014-05-05,70.504211
2014-05-06,70.692017
2014-05-07,71.031891
2014-05-08,71.586418
2014-05-09,72.105164
